title,singer,personnel,sortation,release_date,agency,genre,type
좋은날,아이유,1,솔로,2010-12-09,카카오엔터테인먼트,발라드,EP
내가제일잘나가,2NE1,4,그룹,2011-06-24,YG엔터테인먼트,댄스,싱글
강남스타일,싸이,1,솔로,2012-07-15,YG엔터테인먼트,힙합,정규
첫사랑니,f(x),5,그룹,2013-07-29,SM엔터테인먼트,댄스,정규
위아래,EXID,4,그룹,2014-08-27,바나나컬쳐,댄스,싱글
Ah-Choo,러블리즈,8,그룹,2015-10-01,울림엔터테인먼트,댄스,EP
피땀눈물,방탄소년단,7,그룹,2016-10-10,빅히트뮤직,R&B,정규
시간을달려서,여자친구,6,그룹,2016-01-25,쏘스뮤직,댄스,EP
빨간맛,레드벨벳,5,그룹,2017-07-09,SM엔터테인먼트,댄스,EP
에너제틱,워너원,11,그룹,2017-08-07,"YMC엔터테인먼트, 스톤뮤직엔터테인먼트",댄스,EP
뚜두뚜두,블랙핑크,4,그룹,2018-06-15,YG엔터테인먼트,댄스,EP
달라달라,있지,5,그룹,2019-02-12,JYP엔터테인먼트,댄스,싱글
Dynamite,방탄소년단,7,그룹,2020-08-21,빅히트뮤직,댄스,싱글
